Document Title,Title Level,Authors,Publication Title,Publication Year,Start Page,End Page,,>= 4,Abstract,Abstract level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Enhancing the Performance of Software Development Virtual Teams through the Use of Agile Methods: A Pilot Study,1,"Nevo, Saggi and Chengalur-Smith, InduShobha",IEEE Computer Society,2011,1,10,10,1,,1,,10.1109/HICSS.2011.186,https://doi.org/10.1109/HICSS.2011.186,
RapidRelease: A Dataset of Projects and Issues on Github with Rapid Releases,0,"Joshi, Saket Dattatray and Chimalakonda, Sridhar",IEEE Press,2019,587,591,5,1,,,,10.1109/MSR.2019.00088,https://doi.org/10.1109/MSR.2019.00088,
Security of Public Continuous Integration Services,1,"Gruhn, Volker and Hannebauer, Christoph and John, Christian", , , , ,0,0,,1,,,https://dl.acm.org/doi/10.1145/2491055.2491070,
Agile Software Development with Open Source Software in a Hospital Environment: Case Study of an ECRF-System for Orthopaedical Studies,1,"{O}zcan, T\""{u}nay and Kocak, Semra and Brune, Philipp", Springer-Verlag,2013,439,451,13,1,"In recent years, agile development of web-based applications as well as open-source software (OSS) have been subject to research and practical application in many domains. For the healthcare sector, the use of OSS has been studied in the literature with contradicting findings. Regarding OSS in clinical applications, mainly case studies from hospital-wide IS have been reported. Agile methods have been examined merely in the context of healthcare software product development. However, the development of web-based applications in clinical departments using agile methods and OSS has not been studied so far. Thus, in this paper the feasibility of such an approach is examined for an electronic case report form (eCRF) application for orthopaedical studies. It is demonstrated how OSS-based web engineering projects may be successfully accomplished in highly specialized environments like clinical departments by properly taking into account their specific requirements.",0,,10.1007/978-3-642-39200-9_37,https://doi.org/10.1007/978-3-642-39200-9_37,
Comparing Remote and Co-Located Interaction in Free and Open Source Software Engineering Projects,1,"Buffardi, Kevin",Association for Computing Machinery,2017,22,27,6,1,,1,,10.1145/3059009.3059019,https://doi.org/10.1145/3059009.3059019,
The Patch-Flow Method for Measuring Inner Source Collaboration,0,"Capraro, Maximilian and Dorner, Michael and Riehle, Dirk", , , , ,0,0,,,,,,
Extraction-Based Regression Test Selection,1,"{O}qvist, Jesper and Hedin, G\""{o}rel and Magnusson, Boris", , , , ,0,0,,1,,,https://dl.acm.org/doi/10.1145/2972206.2972224,
Optimising Conceptual Data Models through Profiling in Object Databases,0,"{a}schke, Tilmann and Leone, Stefania and Gm\""{u}nder, Tobias and Norrie, Moira C.", , , , ,0,0,,,,,,
Teaching an Undergraduate Software Engineering Course Using Active Learning and Open Source Projects,1,"Dorodchi, Mohsen and Al-Hossami, Erfan and Nagahisarchoghaei, Mohammad and Diwadkar, Rohit Shenvi and Benedict, Aileen",IEEE Press,2019,1,5,5,1,,1,,10.1109/FIE43999.2019.9028517,https://doi.org/10.1109/FIE43999.2019.9028517,
TWINS: This Workflow is Not Scrum: Agile Process Adaptation for Open Source Software Projects,1,"Robinson, Paul T. and Beecham, Sarah",IEEE Press,2019,24,33,10,1,,1,,10.1109/ICSSP.2019.00014,https://doi.org/10.1109/ICSSP.2019.00014,
