Document Title,Title Level,Authors,Publication Title,Publication Year,Start Page,End Page,,>= 4,Abstract,Abstract level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Design and realization of the central heating service inspection system based on Open Source Computer Vision Library and Socket Network Programming,0,Jun Cheng; Fenglian Liu,2013 10th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD),2013,914,918,5,1,"As city heating gradually turns to central heating, how to improve the service quality of heating units becomes particularly important. The remote video surveillance system uses portables to keep an eye on heating scene in away. In this paper, we use remote surveillance solutions for the central heating system. And the system realizes real-time inspection of customer service staff. In view of the camera image acquisition and transmission, we proposed a remote monitoring strategy based on Windows XP. We use the Open Source Computer Vision Library (OpenCV) as a base for video capture support. And the Socket Network Programming is used for image data transfer. Experiments show that the strategy is reliable and effective.",,,10.1109/FSKD.2013.6816325,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6816325,
Visualization Tool for Designing Microservices with the Monolith-First Approach,0,R. Nakazawa; T. Ueda; M. Enoki; H. Horii,2018 IEEE Working Conference on Software Visualization (VISSOFT),2018,32,42,11,1,"The microservice architecture is essential for agile development and deployment of the application components; however, designing microservices for a web application is not a straight-forward task. One of the best ways to design microservices is to decompose a monolithic prototype of an application into microservices on the basis of both the complexity in engineering and the component boundaries of the application in the early phase of development. We propose a visualization tool allowing developers to interactively design microservice applications on the basis of the characteristics of source codes and the behaviors of a monolithic prototype. This visualization tool first constructs a calling-context tree from profile data taken in a dry-run of the application. Next, it generates an initial microservice design while considering keyword features in the source codes or amount of function calls between components. Developers can interactively refine this design via this visual interface by taking four-choice actions to revise boundaries of microservices while considering expected communications between them. This interaction will have a significant impact on runtime performance. Case studies of two open-source benchmark applications demonstrate the proposed tool enables interactive design of microservices. The results of the demonstration show that compared to the official microservice designs of the applications, the proposed tool can effectively design microservice applications.",,,10.1109/VISSOFT.2018.00012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530129,
Strategies for Agile Software Testing Automation: An Industrial Experience,0,E. Collins; A. Dias-Neto; V. F. d. Lucena Jr.,2012 IEEE 36th Annual Computer Software and Applications Conference Workshops,2012,440,445,6,1,"Testing Automation has been growing in software engineering. Many organizations are investing in automated testing in order to prevent defects and increase testing effectiveness during software development. In agile methodologies, this task is considered an important activity, considered the key of the agile testing. This paper presents three testing automation strategies applied to three different software projects adopting Scrum agile methodology. The results indicated positive agile practices to be considered when adopting testing automation strategy, such as: team collaboration, task distribution, testing tools, knowledge managements. The challenges, results, and lessons learned from this experience are also discussed.",,,10.1109/COMPSACW.2012.84,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341616,
Towards Understanding the Use of Wiki in Agile Software Development,1,P. Kamthan,2014 28th International Conference on Advanced Information Networking and Applications Workshops,2014,566,571,6,1,"The practice of agile methodologies can lead to the creation, communication, and consumption of different types of knowledge. For appropriate (re)use, there is a need to manage such knowledge effectively. In this paper, a framework comprising of related conceptual models as means for understanding the use of Wiki for managing knowledge in agile software development is proposed. In doing so, Wiki is placed in a larger context of the Social Web environment, illustrative examples are given, and implications of committing to a Wiki are highlighted.",0,,10.1109/WAINA.2014.93,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6844697,
pyDAW: A Pragmatic CLI for Digital Audio Processing,0,P. Hassaballah; M. A. -. Salem; H. Othman,2019 14th International Conference on Computer Engineering and Systems (ICCES),2019,253,258,6,1,"Digital Audio Workstations (DAW) are tools for mastering and mixing audio files, in the broader context of large-scale audio processing. Among many other processes, they allow users to perform advanced processes (e.g. Mastering and Equalization) on audio files and apply a chains of audio effects (e.g. Gain, reverb) using sophisticated GUI. DAWs has proven to be a useful resource for Digital Signal Processing (DSP) tasks, and in particular for music production. While the tools are powerful and stable, utilizing tools that require a certain level of knowledge and background in music production and sound processing can be messy and error prone. We propose a solution that allows batch processing of audio file in a fast and prompt manner carrying out some of the popular digital signal processing techniques. The proposed solution, py DAW, is in the form of an open-source tool for users who cannot afford using DAWs for their cost or complexity. pyDAW is a lean Python Command Line Interface (CLI) that provides a simple interface to complement regular DAWs GUI environments, making it easier to run DAWs functionalities in a batch and simple manner.",,,10.1109/ICCES48960.2019.9068106,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068106,
When You Have More Satellites than People: The Evolution of CYGNSS Flight Operations,0,R. Medina; J. Redfern; W. Wells; E. Birath; D. Lamb; A. Alexander; T. Ewing,2019 IEEE Aerospace Conference,2019,1,11,11,1,"The flight operations of the Cyclone Global Navigation Satellite System (CYGNSS), a constellation of eight microsatellites built and operated by Southwest Research Institute (SwRI), designed to improve the intensity forecasts of Tropical Cyclones, has seen a litany of changes to its concept of operations, software, processes, and personnel. In this paper, we detail how the operations team responded to several challenges such as the reduction in personnel after the Launch and Early Orbit Operations phase, the addition of a downlink antenna in Japan, high-fidelity collection requests during the unusually active 2017 Atlantic hurricane season, and the increased demands of team members from other projects. These pressures forced the CYGNSS operations team to innovate their way to efficient operations. These innovations were enabled by embracing modern open-source tools such as Django, Bokeh, Git, the various libraries available in the Python programming language, and the capabilities that come with all of our operations engineers being competent in software development. The CYGNSS team took the approach of automating the most time-intensive tasks first, which freed up time to carefully design and test more elaborate automation solutions. We utilized the spirit of the Agile Methodology to make incremental improvements to our software suite which further enabled more sophisticated automation. Finally, we chart a path forward to fully closing the automation loop between our mission planning, and real-time Command and Control.",,,10.1109/AERO.2019.8741926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8741926,
Design Thinking Paradigm in the Development of an Open Source Strategic Planning Framework,1,J. JÃ¡dan-Guerrero; S. Miranda; Z. Altamirano; J. Manzano,2017 International Conference on Information Systems and Computer Science (INCISCOS),2017,347,352,6,1,"Design Thinking is a paradigm focused on the human being to integrate people, technology and business. This article describes the application of Design Thinking as a methodology of development of an Strategic Planning framework on an open source platform. This approach was born out of necessity of the company Nfoke Solutions Cia. Ltda, in which the main problem was the delay of the strategic analysis in its consulting projects. The framework supports the integration of various services, such as the automatic generation of SWOT matrix and Cambell, Pestle and 5 forces of Porter analysis. The study was carried out to establish the impact of the framework with 20 projects monitored by one year and the satisfaction of 73 customers through a survey. The results revealed an agile development of the framework and the reduction of 70% of the time in analysis processes.",1,,10.1109/INCISCOS.2017.63,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328130,0
There's Something about Lean: A Case Study,1,L. Bocock; A. Martin,2011 Agile Conference,2011,10,19,10,1,"One of the ideas gaining significant interest at the moment is ""how can we apply Lean manufacturing principles to software development?"" There is however, limited information on how Lean is being used by industry practitioners and if the principles and practices are as effective as current interest levels suggest it might be. We have used a case study to explore the practicalities of how one high-performing, open source team, has adopted Lean practices. We found that the existing meritocratic decision-making culture of the team under study appears to have greatly assisted the team's application of Lean principles to their software development processes.",1,,10.1109/AGILE.2011.44,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6005501,0
Towards Predicting the Impact of Software Changes on Building Activities,0,M. Tufano; H. Sajnani; K. Herzig,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2019,49,52,4,1,"The pervasive adoption of Continuous Integration practices - both in industry and open source projects - has led software building to become a daily activity for thousands of developers around the world. Companies such as Microsoft have invested in in-house infrastructures with the goal of optimizing the build process. CloudBuild, a distributed and caching build service developed internally by Microsoft, runs the build process in parallel in the cloud and relies on caching to accelerate builds. This allows for agile development and rapid delivery of software even several times a day. However, moving towards faster builds requires not only improvements on the infrastructure side, but also attention to developers' changes in the software. Surely, architectural decisions and software changes, such as addition of dependencies, can lead to significant build time increase. Yet, estimating the impact of such changes on build time can be challenging when dealing with complex, distributed, and cached build systems. In this paper, we envision a predictive model able to preemptively alert developers on the extent to which their software changes may impact future building activities. In particular, we describe an approach that analyzes the developer's change and predicts (i) whether it impacts (any of) the Longest Critical Path; (ii) may lead to build time increase and its delta; and (iii) the percentage of future builds that might be affected by such change.",,,10.1109/ICSE-NIER.2019.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8805697,
Analyzing Automatic Test Generation Tools for Refactoring Validation,1,I. P. S. C. Silva; E. L. G. Alves; W. L. Andrade,2017 IEEE/ACM 12th International Workshop on Automation of Software Testing (AST),2017,38,44,7,1,"Refactoring edits are very common during agile development. Due to their inherent complexity, refactorings are know to be error prone. In this sense, refactoring edits require validation to check whether no behavior change was introduced. A valid way for validating refactorings is the use of automatically generated regression test suites. However, although popular, it is not certain whether the tools for generating tests (e.g., Randoop and EvoSuite) are in fact suitable in this context. This paper presents an exploratory study that investigated the efficiency of suites generated by automatic tools regarding their capacity of detecting refactoring faults. Our results show that both Randoop and EvoSuite suites missed more than 50% of all injected faults. Moreover, their suites include a great number of tests that could not be run integrally after the edits (obsolete test cases).",0,,10.1109/AST.2017.9,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962330,
A test automation language framework for behavioral models,1,N. Li; J. Offutt,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",2015,1,10,10,1,"Model-based testers design tests in terms of models, such as paths in graphs. This results in abstract tests, which have to be converted to concrete tests because the abstract tests use names and events that exist in the model, but not the implementation. Model elements often appear in many abstract tests, so testers write the same redundant code many times. However, many existing model-based testing techniques are very complicated to use in practice, especially in agile software development. Thus, testers usually have to transform abstract tests to concrete tests by hand. This is time-consuming, labor-intensive, and error-prone. This paper presents a language to automate the creation of mappings from abstract tests to concrete tests. Three issues are addressed: (1) creating mappings and generating test values, (2) transforming graphs and using coverage criteria to generate test paths, and (3) solving constraints and generating concrete tests. Based on the language, we developed a test automation language framework. The paper also presents results from an empirical comparison of testers using the framework with manual mapping on 11 open source and 6 example programs. We found that the automated test generation method took 29.6% of the time the manual method took on average, and the manual tests contained 48 errors in which concrete tests did not match their abstract tests while the automatic tests had zero errors.",1,0,10.1109/ICSTW.2015.7107402,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7107402,0
Analyzing open-source and commercial EHR solutions from an international perspective,0,I. de la Torre; B. MartÃ­nez; M. LÃ³pez-Coronado,"2013 IEEE 15th International Conference on e-Health Networking, Applications and Services (Healthcom 2013)",2013,399,403,5,1,"Nowadays the Electronic Health Records (EHRs) systems market has gained importance in healthcare systems. This paper presents an analysis of the level of implementation and the evolution of numerous commercial and open-source EHR systems in use today. We began the review by searching Medline terms such as EHR, â€œcommercial electronic health recordsâ€, â€œopen-source electronic health recordsâ€. We also looked in non-peer-reviewed literature by searching different search engines. Moreover, we identified providers and users from the different solutions and contacted them to obtain more information. The most important international barrier to the adoption of EHR systems is economic resources. The wealthiest countries opt to implement their own EHR systems. The commercial applications that currently have the greatest number of registered users are eclinicalworks, CareTracker and Allscripts Professional, all belonging to U.S. companies. The most commonly used open-source systems are HOSxp, OpenEMR and OpenVistA. The first two are implemented, in general, on the African continent, Latin America and some countries in Asia. The implementation of an international and interoperable EHR platform is difficult to achieve because each country has a different level of development of these systems. Countries with few resources tend to implement open-source software systems and developed countries lean towards commercial EHR systems.",,,10.1109/HealthCom.2013.6720708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6720708,
"Leveraging scrum principles in collaborative, inter-disciplinary service-learning project courses",1,B. Nejmeh; D. S. Weaver,2014 IEEE Frontiers in Education Conference (FIE) Proceedings,2014,1,6,6,1,"This paper presents two primary results: (1) an adaptation of a Scrum-based, software-tools enabled process used in international service-learning project courses in the Computer and Information Sciences and other disciplines and (2) the software applications resulting from this process. The paper begins with an overview of Scrum and the challenges of applying it in the classroom. We survey the literature regarding adaptations of Scrum in an academic setting. Unlike a number of applications of Scrum in the academy, we applied Scrum in the context of international service-learning courses where we completed software application projects for clients, typically non-profit organizations that needed a system to address some key issue. The challenges encountered with the application of Scrum in a multi-course project setting are discussed along with the adaptations made to address these problems. We summarize some of our successful project results and experiences to date. Finally, we discuss known issues with our approach and future directions of our work, including our interest in partnering with other institutions and in pursuing an open source model for our projects.",0,,10.1109/FIE.2014.7044087,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044087,
Power converter control framework for agile research and development,1,T. N. Matzen; K. B. Larsen; A. L. JÃ¸rgensen; M. Weje,2014 IEEE Energy Conversion Congress and Exposition (ECCE),2014,513,520,8,1,"In this work a flexible converter control framework is presented for research and agile development of converter control systems. The platform is composed of a controller board and a software development framework. The control platform is distinguished by flexible pheriphals implemented in a FPGA which also contain a converter model for real-time simulation during control and software development. The converter model simulation facilitates continous integration during control software development. Python is the language used in the framework for C++ template code- and header-generation for modules. The framework include a Matlab/Simulink wrapper so dedicated control modules can be developed and tested using a bottom-up approach in the Simulink environment. Test scripts written in Python are used for automated testing of converter behaviour. A build server running the open source Jenkins contionous integration server enables parallel and continous integration engineering, where test scripts are executed automatically every time control software is comitted. An example with a back-to-back converter for a wind turbine application is given, where the converter control platform has been used as a rapid development platform. The developed converter controller implements active grid control and sensorless torque control with field weakening of a permanent magnet synchronous generator. Intense use of converter model simulation and continous integration with automated tests of control behaviour gave a smooth and uncomplicated transition from the simulation environment to the actual converter system, where experimental test bench results showed expected behaviour right from the beginning.",0,,10.1109/ECCE.2014.6953437,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6953437,
Effort Estimation via Text Classification And Autoencoders,1,R. G. F. Soares,2018 International Joint Conference on Neural Networks (IJCNN),2018,1,8,8,1,"The estimation of the effort required for the production of a software or the correction of a software issue is an important activity in software development methodologies. Such estimates are essential to the delivery of high-quality products within a time frame and budget. Intuitively, these estimates should be produced as early as possible in the development process in order to improve planning. Issue reports are the earliest documents available for the correction of a software. We tackle effort estimation in early stages of agile software development as text classification of issue reports. This task consists of assigning categories to such documents, often written in natural language and programming code. Typically, text classification is performed with feature extraction techniques that produce informative features for a text classifier. Autoencoders generate input representations in increasing levels of abstraction, which may represent meaningful semantics in issue reports. We propose a study on the effectiveness of autoencoders for estimating the effort required for the agile correction of software functionalities in the context of real-world open-source projects. Our experiments provided significant evidences that autoencoders are able to encode noisy documents and provide informative features to a text classifier and improve its generalization.",1,,10.1109/IJCNN.2018.8489030,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489030,0
Towards Requirements Reuse by Implementing Traceability in Agile Development,1,R. Elamin; R. Osman,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),2017,431,436,6,1,"Requirements reusability within agile development improves software quality and team productivity. One method to implement requirements reusability is traceability, in which relations and dependencies between requirements and artifacts are identified and linked. In this paper, we propose a semiautomated methodology to implement traceability in the agile development process in order to achieve requirements reusability. The main feature of our methodology is the coupling of semi-automated semantic trace generation with the outputs of the agile development process, thus facilitating requirements and artifact reuse. In contrast to previous work, this methodology is specifically designed for practical agile processes and artifacts. Our methodology will be implemented as a component within an existing open source agile tool in order to have minimal impact on the development process. This paper fills a current gap in the area of requirements reusability through traceability and contributes to the limited existing work in agile traceability methodologies.",1,,10.1109/COMPSAC.2017.250,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029969,0
Innovation Welcome: An Agile Approach to Model-Based Development of Safety-Critical Embedded Systems,1,J. Mills; R. Turin; J. Mangas; S. Ranville,2018 IEEE International Conference on Software Architecture Companion (ICSA-C),2018,152,152,1,0,"From concept to production, intelligent tools are needed to pave the way for stress-free development of complex automotive embedded systems. While automotive products depend more and more on software as the distinguishing feature to achieve a competitive edge, the addition of software features to the overall system functionality comes at a hefty price. As the development times become shorter and shorter, the simultaneous increase in complexity demands diligent partitioning of the software development tasks and ultimately the collaboration of many multi-disciplinary development teams that work in parallel. This leads to a multitude of independently developed software artifacts, each of which will eventually be required to seamlessly integrate into the overall system architecture. Of course, such a seamless integration can ultimately only be achieved if the artifact development follows a very disciplined, if not rigid, development process. However, the more the process is policed, the more the feature engineers will be required to follow procedure and the less they will be able to exploit their creative potential. This is a conundrum that is hard to solve. Rigid development rules are necessary to ensure functional safety, artifact integrity, and consistency throughout the development process. On the other hand, agile development that facilitates product innovation on a functional level is necessary to gain a competitive edge. The two objectives, if viewed within the context of a traditional software development process, are competing objectives and one typically has to be content with a compromise. But what if there is a way to achieve both objectives simultaneously? What if there is a way to delegate the policing to a suite of intelligent development tools that shelter each feature developer when unleashing his/her creative potential? This presentation describes a new, agile, architecture-centric software development paradigm and a companion tool framework that facilitates stress and error-free software development across all stages of a production software development program that is highly agnostic to the specific business rules of an organization.",0,,10.1109/ICSA-C.2018.00045,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432200,
Improving open source software patch contribution process: methods and tools,1,B. D. Sethanandha,2011 33rd International Conference on Software Engineering (ICSE),2011,1134,1135,2,0,"The patch contribution process (PCP) is very important to the sustainability of OSS projects. Nevertheless, there are several issues on patch contribution in mature OSS projects, which include time consuming process, lost and ignored patches, slow review process. These issues are recognized by researchers and OSS projects, but have not been addressed. In this dissertation, I apply Kanban method to guide process improvement and tools development to reduce PCP cycle time.",1,,10.1145/1985793.1986018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032611,
Experience with AOAB methodology in mobile computing module,0,R. Al-azawi; A. Ayesh,2015 International Conference on Open Source Software Computing (OSSCOM),2015,1,6,6,1,"This paper describes a case study of how Agent Oriented Agile Based (AOAB) development methodology was implemented in mobile computing module to create game as a part of the module assessment requirements. Games can be used in higher education in many ways to increase students participation, enable variation in how lectures are taught and to increase students interest when they create their own game. We provide a new game development methodology and integrated with mobile computing module. The experience described in this paper is based on the feedback from the module staff member, students feedback, final student report and finally module evaluation report by students. The evaluation shows that the students who used AOAB methodology provide a better result rather than groups who used Agile game development methodology in game creation. Finally, we describe the benefit of using game in higher education and how we could enhance students progress in their study.",,,10.1109/OSSCOM.2015.7372683,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372683,
