Document Title,Authors,Publication Title,Publication Year,Start Page,End Page,>= 4,Abstract,Abstract Level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
A class-level test selection approach toward full coverage for continuous integration,"Li Y., Wang J., Wang Q., Hu J.","Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",2019,49,54,,"Continuous Integration (CI) is an important practice in agile development. With the growth of integration system, running all tests to verify the quality of submitted code, is clearly uneconomical. This paper aims at selecting a proper test subset towards full coverage of all changed and affected code so as to reduce the cost of CI testing. We proposes FEST, a novel approach, which searches for the full dependencies of changed code at the class level and then selects test classes related to the changed and affected classes. We assess FEST from fault detection efficiency and cost effectiveness based on 18 open source projects with 261 continuous integration versions from Eclipse and Apache communities, and compare it with the state-of-the-art approach ClassSRTS (as baseline). Results show that FEST (1) can not only cover all faults detected by actual CI testing and baseline, but also find new faults in 25% and 18% versions respectively. (2) shows better or equal test scale benefits than actual CI testing (in 98% versions) and baseline (in 99% versions); and can compensate risk of omitting necessary tests for actual CI testing (in 62% versions) and baseline (in 73% versions). © 2019 Knowledge Systems Institute Graduate School. All rights reserved.", , ,10.18293/SEKE2019-011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071394128&doi=10.18293%2fSEKE2019-011&partnerID=40&md5=8c7ef0ca0017441bad34e9a674a0b605, 
"A generalized, enterprise-level systems development process framework for systems analysis and design education","Topi H., Spurrier G.",Journal of Information Systems Education,2019,253,265,,"Current academic and industry discussions regarding systems development project approaches increasingly focus on agile development and/or DevOps, as these approaches are seen as more modern, streamlined, flexible, and, therefore, effective as compared to traditional plan-driven approaches. This extends to the current pedagogy for teaching systems analysis and design (SA&D). However, overemphasizing agile and DevOps neglects broader dimensions that are essential for planning and executing enterprise-level systems projects. Thus, a dilemma may arise: do we teach agile and DevOps techniques that may be inadequate for enterprise-level projects or do we teach the wider range of plan-driven skills and techniques that may conflict with the tenets and benefits of agile and DevOps? In this paper, we advocate for resolving this dilemma by adopting a generalized process framework that both fully supports enterprise-level projects but can also be selectively scaled back toward increased agility for smaller, less complex projects. In its full realization, this framework combines extensive project planning and up-front requirements with iterative delivery - an increasingly popular approach today for enterprise projects. In scaling back toward agile, the framework carefully accounts for system, environment, and team characteristics. Further, the model emphasizes issues frequently underemphasized by agile approaches, including the use of external software such as commercial-off-the-shelf (COTS), Software-as-a-Service (SaaS), and open source products and components; the need for business-oriented project planning and justification; and support for change management to ensure successful system adoption. The framework thereby flexibly accommodates the full range of activities that software projects must support to be successful. © 2019 by the Information Systems & Computing Academic Professionals, Inc.", , ,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081170743&partnerID=40&md5=d115bb3e6e7f3c68e1778b37c8a1fe0a, 
A numerical investigation on the thermo-chemical structures of methane-oxygen diffusion flame-streets in a microchannel,"Kang X., Sun B., Wang J., Wang Y.",Combustion and Flame,2019,266,281,,"“Flame-street” refers to the interesting combustion phenomenon that a diffusion flame in a narrow channel is separated into a discrete series of flame segments. Although flame-street has been observed experimentally for more than a decade, numerical simulations of this phenomenon with realistic chemistry and detailed analysis of its thermo-chemical structures have yet to be performed. In this paper, the methane-oxygen diffusion flame-street observed by Misse et al. (2005) [36] in a microchannel was numerically reproduced using a reacting flow solver developed based on the open-source framework OpenFOAM. The main purpose of the present work is to investigate the detailed thermo-chemical structures of diffusion flame-street in the anticipation of a deep understanding of the underlying mechanisms responsible for its formation. Our simulation results show that the presence of discrete flame segments can strongly affect the flow field. In addition, the flame-street was found to consist of a bibrachial leading flame with a long diffusion tail and a much weaker fuel-lean premixed branch, and consecutive downstream “new moon”-like flamelets each with a fuel-lean and a fuel-rich premixed branch. Chemical structures of these flame branches were analyzed by examining critical reactions that contribute significantly to the overall heat release. Finally, the effects of channel wall thermal conditions and species mass diffusion on the formation of the flame-street were investigated. It was found that the flame street could be established only at a moderate level of heat loss to the wall: significantly enhanced or reduced heat losses would result in either a single short edge flame or a long continuous edge flame. Increased mass diffusivity was seen to enhance combustion, elongate the leading flame, and even lead to more flame segments that appeared within the channel, although they may exist in a unsteady mode, being repetitively split, moving downstream and being blown-out/extinguished. © 2019 The Combustion Institute", , ,10.1016/j.combustflame.2019.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065602980&doi=10.1016%2fj.combustflame.2019.05.006&partnerID=40&md5=6d725293e4b8109f81b7702a81a6a3c4, 
Agile challenges and chances for open source: Lessons learned from managing a floss project,Muller M.,"2018 IEEE Conference on Open Systems, ICOS 2018",2019,1,6,,"Open source projects got an important part today's software landscape. Thousands of these projects are collaboratively driven by communities following a shared vision. But governing open communities towards this shared vision comes along with various difficulties. In general, agile methods allow to manage such systems of collaborative development and constant change. But as this work shows, the agile approach not only provides chances in open settings. A variety of challenges occur that need to be considered. The case of Catrobat, a Free/Libre Open Source project, shows that although open source development and agile methods evolved over the last years, the dynamics of open communities still challenge the agile way. However, evaluating and understanding these dynamics, as well as introducing agile elements, such as the role of product owners, can be beneficial for managing open systems and to drive it into a common direction together with the contributors. © 2018 IEEE.", , ,10.1109/ICOS.2018.8632819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062868063&doi=10.1109%2fICOS.2018.8632819&partnerID=40&md5=6c5b9f3432d740e4635ba5bec309713f, 
"An Open Source, Iterative Dual-Tree Wavelet Background Subtraction Method Extended from Automated Diffraction Pattern Analysis to Optical Spectroscopy","Chevalier R.B., Dwyer J.R.",Applied Spectroscopy,2019,1370,1379,,"Background subtraction is a general problem in spectroscopy often addressed with application-specific techniques, or methods that introduce a variety of implementation barriers such as having to specify peak-free regions of the spectrum. An iterative dual-tree complex wavelet transform-based background subtraction method (DTCWT-IA) was recently developed for the analysis of ultrafast electron diffraction patterns. The method was designed to require minimal user intervention, to support streamlined analysis of many diffraction patterns with complex overlapping peaks and time-varying backgrounds, and is implemented in an open-source computer program. We examined the performance of DTCWT-IA for the analysis of spectra acquired by a range of optical spectroscopies including ultraviolet–visible spectroscopy (UV–Vis), X-ray photoelectron spectroscopy (XPS), and surface-enhanced Raman spectroscopy (SERS). A key benefit of the method is that the user need not specify regions of the spectrum where no peaks are expected to occur. SER spectra were used to investigate the robustness of DTCWT-IA to signal-to-noise levels in the spectrum and to user operation, specifically to two of the algorithm parameter settings: decomposition level and iteration number. The single, general DTCWT-IA implementation performs well in comparison to the different conventional approaches to background subtraction for UV–Vis, XPS, and SERS, while requiring minimal input. The method thus holds the same potential for optical spectroscopy as for ultrafast electron diffraction, namely streamlined analysis of spectra with complex distributions of peaks and varying signal levels, thus supporting real-time spectral analysis or the analysis of data acquired from different sources. © The Author(s) 2019.", , ,10.1177/0003702819871330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075545023&doi=10.1177%2f0003702819871330&partnerID=40&md5=8039be81ee86b7c28fb4acaefb906cde, 
Building bridges to customer needs in open source documentation,Hardin A.R.,SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication,2019,,,,"The Red Hat OpenShift documentation repository is situated in a unique open source environment in which anybody with a GitHub account can contribute directly to the documentation set. One of the primary contributors to the documentation repository are developers, which presents a challenge. The technical writers on the Red Hat OpenShift documentation team who collaboratively write, edit, and merge these contributions are faced with the challenge of maintaining user-centered rather than engineering- centered documentation. Furthermore, the technical writers lack direct interaction with external customers. Considering these challenges, this industry insight report discusses several methods that can be employed to maintain a customer-centric focus and improve the documentation set: focus on user stories, network with internal customers and stakeholders who work closest with external customers, and seek opportunities to work on customer cases. © 2019 Association for Computing Machinery.", , ,10.1145/3328020.3353917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074783986&doi=10.1145%2f3328020.3353917&partnerID=40&md5=a6c95c81414e80ce19c82b98452d5cf4, 
Comparing RFID tags performance through software defined radio,"Zargariasl H., Solic P., Rados K., Perkovic T., Blazevic Z., Rodrigues J.J.P.C.","2019 IEEE International Conference on RFID Technology and Applications, RFID-TA 2019",2019,494,498,,"RFID tags, made of IC and connected antenna represent a huge advantage in process automation. Now, it is possible to track, identify and get tagged item status in real time. However, the weaknesses of technology cause tags to be missed during the read process which can happen due to many different reasons. Consumers would appreciate if these performances can be given in a lean way. Although many contributions done so far to evaluate the performances, still there is certain space for improvements from different aspects ranging from cost-effectiveness of the platform to particular metrics of interest to be defined upon specific test scenario. This paper, in tutorial fashion, provides results obtained from SDR-based measurement platform. The results can be used for building custom-based performance metrics and evaluate RFID tags in particular scenario. © 2019 IEEE.", , ,10.1109/RFID-TA.2019.8892147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075710225&doi=10.1109%2fRFID-TA.2019.8892147&partnerID=40&md5=9e2bb14faefeb3aa07fe8e65f266099c, 
Continuous Testing in the Development of IoT Applications,"Guseila L.G., Bratu D.-V., Moraru S.-A.","2019 International Conference on Sensing and Instrumentation in IoT Era, ISSI 2019",2019,,,,"Internet-of-Things has evolved with the increased volume of data of interconnecting the physical world to the Internet. Cloud provides the underlying power for IoT to become a disrupting technology, revolutionizing the cloud, as we know it. IoT applications need to adapt frequently and rapidly to new requests. Increasing competition and rapidly changing market needs require from nowadays companies' flexibility and fast time to market of their products. To achieve these goals more and more organizations are relying on new IT technologies and software development processes. Though there are many publications around DevOps as a methodology and the use of a process for continuous integration and continuous development, there are fewer solutions provided which incorporate a software delivery pipeline incorporating all processes: continuous business planning, agile development, continuous integration, continuous deployment and continuous testing. The paper proposes a DevOps architecture and agile tools to be used in the implementation of a fully integrated DevOps pipeline based on open-source. Furthermore, continuous testing is covering test best practices and methods, which along with the DevOps pipeline can be widely implemented in any cloud environment, regardless of the cloud provider chosen. © 2019 IEEE.", , ,10.1109/ISSI47111.2019.9043692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083197670&doi=10.1109%2fISSI47111.2019.9043692&partnerID=40&md5=ecb72ce5a172229db887dca371faa514, 
Design of a dynamic boot loader for loading an operating system,"Sebastian A., Sankar K.S.",Journal of Computer Science,2019,190,196,,"Boot Loader is the crucial program that loads the operating system in memory and initializes the system. In today's world people are constantly on move and portable system are in demand specially the USB devices due to its portability and accessibility compared to CD/DVD drives. The purpose of this paper is to design a dynamic boot loader which removes the BIOS dependency and allow user to boot from USB without changing CMOS settings. The USB is devised as plug and play portable system with puppy Linux and newly developed dynamic boot loader. The device is experimented on a computer machine with 8 GB RAM, i5 processor, 64-bit Operating system and windows 7 and observed that nearly 50% reduction in booting time i.e., the time spent in changing the boot order is eliminated compared to the static boot loader. The time spent in the BIOS is dependent on the user knowledge in changing the boot priority. The portable system allows the user to work in ease in any environment with minimum requirement of Windows XP and USB 2.0 compatible system. © 2019 Alycia Sebastian and Dr. K. Siva Sankar.", , ,10.3844/jcssp.2019.190.196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061613306&doi=10.3844%2fjcssp.2019.190.196&partnerID=40&md5=980918c95c870ca451d268c92f956939, 
DevOps architecture in the cloud [Bulut üzerinde DevOps mimarisi],"Demiral Y., Carkaci N., Cekmez U.","27th Signal Processing and Communications Applications Conference, SIU 2019",2019,,,,"Developing technology and information systems have gained a great place in our lives and the importance of scalable software, cloud computing and distributed architectures has increased. With these developments, the necessity of providing seamless service of development and operational processes, monitoring and auto-management of these complex architectures has born. Thus, the DevOps concept aiming to conduct both software projects in an automatic seamless way and cooperation between the developer teams has emerged. In recent years, conducting DevOps pipeline consisting of software planning, coding, compilation, versioning, testing, publishing and managing have been implemented on cloud technologies to create better performance and fault tolerant structure. In this study, agile development, continuous integration and gradual operation of delivery processes for containerized technologies are implemented and evaluated on OpenStack, one of the private open source cloud infrastructures, with respect to DevOps principles. © 2019 IEEE.", , ,10.1109/SIU.2019.8806433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071979292&doi=10.1109%2fSIU.2019.8806433&partnerID=40&md5=23807b9cc14d792453f9d604b5e7f69a, 
