Document Title,Title Level,Authors,Publication Title,Publication Year,Start Page,End Page,,>= 4,Abstract,Abstract level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Lessons Learned from Teaching Open Source Software Development,1,Becka MorganCarlos Jensen,Open Source Software: Mobile Open Source Technologies,2014,,,,,"Free/Open Source Software allows students to learn valuable real world skills and experiences, as well as a create a portfolio to show future employers. However, the learning curve to joining FOSS can be daunting, often leading newcomers to walk away frustrated. Universities therefore need to find ways to provide a structured introduction to students, helping them overcome the barriers to entry. This paper describes two courses taught at two universities, built around a Communities of Practice model, and the lessons learned from these. Suggestions and insights are shared for how to structure and evaluate such courses for maximum effect.",0,,10.1007/978-3-642-55128-4_18,http://link.springer.com/chapter/10.1007/978-3-642-55128-4_18,
Towards a Unified Definition of Open Source Quality,0,Claudia RuizWilliam Robinson,Open Source Systems: Grounding Research,2011,,,,,,,,10.1007/978-3-642-24418-6_2,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_2,
Building Knowledge in Open Source Software Research in Six Years of Conferences,1,Fabio MulazzaniBruno RossiBarbara RussoMaximilian Steff,Open Source Systems: Grounding Research,2011,,,,,"Since its origins, the diffusion of the OSS phenomenon and the information about it has been entrusted to the Internet and its virtual communities of developers. This public mass of data has attracted the interest of researchers and practitioners aiming at formalizing it into a body of knowledge. To this aim, in 2005, a new series of conferences on OSS started to collect and convey OSS knowledge to the research and industrial community. Our work mines articles of the OSS conference series to understand the process of knowledge grounding and the community surrounding it. As such, we propose a semi-automated approach for a systematic mapping study on these articles. We automatically build a map of cross-citations among all the papers of the conferences and then we manually inspect the resulting clusters to identify knowledge building blocks and their mutual relationships. We found that industry-related, quality assurance, and empirical studies often originate or maintain new streams of research.",0,,10.1007/978-3-642-24418-6_9,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_9,
Agile Software Development with Open Source Software in a Hospital Environment â€“ Case Study of an eCRF-System for Orthopaedical Studies,0,TÃ¼nay Ã–zcanSemra KocakPhilipp Brune,Web Engineering,2013,,,,,,,,10.1007/978-3-642-39200-9_37,http://link.springer.com/chapter/10.1007/978-3-642-39200-9_37,
Software Metrics in Agile Software: An Empirical Study,0,Giuseppe DestefanisSteve CounsellGiulio ConcasRoberto Tonelli,Agile Processes in Software Engineering and Extreme Programming,2014,,,,,,,,10.1007/978-3-319-06862-6_11,http://link.springer.com/chapter/10.1007/978-3-319-06862-6_11,
Introducing Agile Product Owners in a FLOSS Project,1,Matthias MÃ¼llerChristian SchindlerWolfgang Slany,Open Source Systems,2019,,,,,"Sponsored Open Source Software projects, driven by various actors, have to balance the needs of volunteer contributors and business objectives. This work presents Catrobat, a FLOSS project established at Graz University of Technology, and how it introduced agile product owners. Product owners communicate the product vision, provide a general direction, decide about features, and prioritize requirements that are implemented by the community, i.e., they are ultimately responsible for the product. This agile approach is intended to ensure a certain outcome, such as business objectives, but also to react to the needs of community members and users on a short-term basis. This paper presents how therefore this role has been defined and the processes have been adapted.",1,,10.1007/978-3-030-20883-7_4,http://link.springer.com/chapter/10.1007/978-3-030-20883-7_4,
A Review of Tool Support for User-Related Communication in FLOSS Development,0,Aapo RantalainenHenrik HedbergNetta Iivari,Open Source Systems: Grounding Research,2011,,,,,,,,10.1007/978-3-642-24418-6_7,http://link.springer.com/chapter/10.1007/978-3-642-24418-6_7,
Exploring the Role of Outside Organizations in Free / Open Source Software Projects,0,Darren ForrestCarlos JensenNitin MohanJennifer Davidson,Open Source Systems: Long-Term Sustainability,2012,,,,,,,,10.1007/978-3-642-33442-9_13,http://link.springer.com/chapter/10.1007/978-3-642-33442-9_13,
Differences between Traditional and Open Source Development Activities,1,John Wilmar Castro LlanosSilvia Teresita AcuÃ±a Castillo,Product-Focused Software Process Improvement,2012,131,144,14,,"The growing importance of open source software (OSS) has led researchers to study how OSS processes differ from traditional software engineering processes. The aim of this study is to determine the differences and similarities between development process activities (requirements, design, and implementation) enacted by the OSS community and established by IEEE Standard 1074:2006. We conducted a systematic mapping study to find out which activities are part of the OSS development process. We identified a total of 22 primary studies. Of these, 46% described activities related to the requirements process, just over 60% reported activities related to design and almost all accounted for activities related to implementation. The OSS community does not enact prescriptive software engineering models. OSS requirements are evolved using several different web artefacts, as well as through continual interactions in forums and via messaging. Requirements are asserted rather than elicited. A common feature of all OSS projects is that software system design and implementation is modular. The priority in the OSS community is implementation. Anyone, developers or users, can make contributions, including designs and code.",1,,10.1007/978-3-642-31063-8_11,http://link.springer.com/chapter/10.1007/978-3-642-31063-8_11,
Scaling and Internationalizing an Agile FOSS Project: Lessons Learned,1,Stephan FellhoferAnnemarie HarzlWolfgang Slany,Open Source Systems: Adoption and Impact,2015,,,,,,1,,10.1007/978-3-319-17837-0_2,http://link.springer.com/chapter/10.1007/978-3-319-17837-0_2,
