Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Source title,Conference name,Conference date,Conference location,Conference code,Sponsors,Cited by,Publication Stage,Open Access
Robust Automated Fiber Tracking: A Hybrid Software Architecture for Processing and Visualizing Diffusion Magnetic Resonance Imaging Data,,Gompel S.V.; Schouten G.; Huijbers W.; Versluis M.,2023,5,Conference paper,10.1109/ICSA-C57050.2023.00027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159094059&doi=10.1109%2fICSA-C57050.2023.00027&partnerID=40&md5=8c41a2f0be726b7a42d34e64a6fa1c7f,diffusion MRI; fiber tracking; image processing; software architecture,"Robust Automated Fiber Tracking (RAFT) is a configurable software pipeline that automates extraction of fiber bundles from diffusion Magnetic Resonance Imaging (dMRI) data. RAFT uses a hybrid software architecture design and is developed keeping the SOLID (Scalable, Operationally agile, Lean, IT focused and Delivers results) principles of software development in mind. This design is based on (i) the pipeline pattern: a software design pattern that provides the ability to execute a sequence of operations, (ii) while taking elements from a microservices architecture: a method to build server applications using a set of small self-contained services. Thanks to this hybrid architecture design, RAFT is a modular and open system allowing for easy modifications and future extensions. The resulting prototype fully automates the extraction process with many configuration options, while keeping the installation simple and usage of the system intuitive.  © 2023 IEEE.","Proceedings - IEEE 20th International Conference on Software Architecture Companion, ICSA-C 2023","20th IEEE International Conference on Software Architecture Companion, ICSA-C 2023",13 March 2023 through 17 March 2023,L�Aquila,188185,,0,Final,
Spray Flamelet Modeling of Turbulent Two-Phase Reacting Flows with Multi-Component Fuel in a Lean Direct Injection Combustor,,Yi R.; Chen C.P.,2023,,Article,10.1080/00102202.2023.2212319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159290317&doi=10.1080%2f00102202.2023.2212319&partnerID=40&md5=c35a7a9bd848d6dc48b30cc7e3058a18,lean direct injection combustor; multi-component surrogate fuel; multiple combustion regimes; preferential evaporation effect; Spray flamelet model,"Towards the numerical evaluation of the performance in aero-engine combustors, implementing detailed reaction kinetics into the large eddy simulation (LES) cost-effectively is highly desirable. In this work, a newly-developed spray flamelet model is combined with a four-component jet fuel surrogate model to allow integration of the detailed kinetics in the open-source CFD code. The spray flamelet approach (SFGM) can take into account the non-adiabatic effect caused by the evaporating spray and can directly reflect the preferential evaporation, as well as multiple combustion regimes present in complex spray combustion systems. The coupling of the SFGM-LES approach is assessed by comparison with the experimental data from a Lean Direct Injection (LDI) combustor, where the real aviation kerosene, Jet-A, was utilized. The SFGM-LES approach well predicts the experimental statistics in both gas and liquid phases. It is capable of capturing the rich physics and complex flame structures, including the preferential evaporation effect and the multi-regime combustion phenomenon. The present work demonstrates that the complex nature of multi-components and the multiple-combustion regimes in the two-phase combustion can be directly included in the spray flamelet approach, and thus this model can provide new insights into the turbulent spray combustion phenomena. © 2023 The Author(s). Published with license by Taylor & Francis Group, LLC.",Combustion Science and Technology,,,,,,0,Article in press,All Open Access; Hybrid Gold Open Access
Microfluidic and small-scale planar separation systems,,Morlock G.; Morlock J.; Morlock L.,2023,14,Book chapter,10.1016/B978-0-323-99970-0.00015-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158954609&doi=10.1016%2fB978-0-323-99970-0.00015-6&partnerID=40&md5=9cf28167585226cebadb0cc45db8ea2a,2LabsToGo system; All-in-one system; Green chemistry; High-performance thin-layer chromatography (HPTLC); Lean laboratory; Micro total analysis system; Microfluidic planar separation; Miniaturization; Open-source technology; Planar chromatography; Sustainability,"This chapter highlights instrumental advancements in the field of miniaturized planar separations and the role of innovation-driving principles such as Open-Source Technologies, Miniaturization, Lean Laboratory, Simplicity, Do-it-yourself, and Sustainability (Green Chemistry). A distinction is made between microfluidic lab-on-a-chip separation systems and portable small-scale separation systems. Unique benefits arise in the downsizing of conventional instrumentation, including significant decrease of reagent, sample, and energy consumption as well as faster, more cost-effective, and efficiently automated analytical processes. In the most advanced small-scale planar separation system, the chemical laboratory and biological laboratory were merged in a completely solvent-resistant miniaturized all-in-one 2LabsToGo system that is portable. It provided comparable results to those obtained by status-quo instrumentation and can be used for nontarget screening and effect-directed detection of complex samples. This makes test@home or Test2Go possible for interested citizens who want to check onsite product safety and exposure to complex samples themselves. © 2023 Elsevier Inc. All rights reserved.","Instrumental Thin-Layer Chromatography, Second Edition",,,,,,0,Final,
ChiselFV: A Formal Verification Framework for Chisel,,Xiang M.; Li Y.; Zhao Y.,2023,,Conference paper,10.23919/DATE56975.2023.10137221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162658759&doi=10.23919%2fDATE56975.2023.10137221&partnerID=40&md5=c3ee6aa7602d7504dfe428d1e5fe7aad,Chisel; Formal methods; Hardware description language; Hardware verification,"Modern digital hardware is becoming ever more complex. And agile development, an efficient idea in software development, has been introduced into hardware. Furthermore, as a new hardware construction language, Chisel helps to raise the level of hardware design abstraction with the support of object-oriented and functional programming. Chisel plays a crucial role in future hardware design and open-source hardware development. However, the formal verification for Chisel is still limited. In this paper, we propose ChiselFV, a formal verification framework that has supported detailed formal hardware property descriptions and integrated mature formal hardware verification flows based on SymbiYosys. It builds on top of Chisel and uses Scala to drive the verification process. Thus the framework can be seen as an extension of Chisel. ChiselFV makes it easy to verify hardware designs formally when implementing them in Chisel. © 2023 EDAA.","Proceedings -Design, Automation and Test in Europe, DATE","2023 Design, Automation and Test in Europe Conference and Exhibition, DATE 2023",17 April 2023 through 19 April 2023,Antwerp,189131,"ACM Special Interest Group on Design Automation (SIGDA); European Design and Automation Association (EDA); IEEE Council on Electronic Design Automation (CEDA); SEMI, Electronic System Design (ESD) Alliance",0,Final,
An estimative (warning) model for recognition of pandemic nature of virus infections,,Kudryashov N.A.; Chmykhov M.; Vigdorowitsch M.,2023,13,Article,10.1515/ijnsns-2020-0154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107075635&doi=10.1515%2fijnsns-2020-0154&partnerID=40&md5=ef792bbd1d396a5e44dc1187537edede,coronavirus; epidemiological model; first integral; infection; nonlinear differential equation; Tasmanian devil,"A simple SIS-type mathematical model of infection expansion is presented and analysed with focus on the case SARS-Cov-2. It takes into account two processes, namely, infection and recovery/decease characterised by two parameters in total: contact rate and recovery/decease rate. Its solution has a form of a quasi-logistic function for which we have introduced an infection index that, should it become negative, can also be considered as a recovery/decease index with decrease of infected down to zero. Based on the data from open sources for the SARS-Cov-2 pandemic, seasonal influenza epidemics and a pandemic in the fauna world, a threshold value of the infection index has been shown to exist above which an infection expansion pretends to be considered as pandemic. Lean (two-parameter) SIR models affined with the warning SIS model have been built. Their general solutions have been obtained, analysed and shown to be a priori structurally adjusted to the infectives' peak in epidemiological data.  © 2021 Walter de Gruyter GmbH, Berlin/Boston.",International Journal of Nonlinear Sciences and Numerical Simulation,,,,,,1,Final,
Release conventions of open-source software: An exploratory study,,Chakroborti D.; Nath S.S.; Schneider K.A.; Roy C.K.,2023,,Article,10.1002/smr.2499,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135244732&doi=10.1002%2fsmr.2499&partnerID=40&md5=368f52fafd16b4a4aaf4cf35e96bfdce,GitHub; methodologies; open-source software; project management; release; software engineering,"Software engineering (SE) methodologies are widely used in both academia and industry to manage the software development life cycle. A number of studies of SE methodologies involve interviewing stakeholders to explore the real-world practice. Although these interview-based studies provide us with a user's perspective of an organization's practice, they do not describe the concrete summary of releases in open-source social coding platforms. In particular, no existing studies investigated how releases are evolved in open-source coding platforms, which assist release planners to a large extent. This study explores software development patterns followed in open-source projects to see the overall management's reflection on software release decisions rather than concentrating on a particular methodology. Our experiments on 51 software origins (with 1777k revisions and 12k releases) from the Software Heritage Graph Dataset (SWHGD) and their GitHub project boards (with 23k cards) reveal reasonably active project management with phase simplicity can release software versions more frequently and can follow the small release conventions of Extreme Programming. Additionally, the study also reveals that a combination of development and management activities can be applied to predict the possible number of software releases in a month ((Formula presented.)). © 2022 John Wiley & Sons Ltd.",Journal of Software: Evolution and Process,,,,,,0,Final,
A Low Cost PC-Based System for Clinical Information Management in Infant Neurodevelopment Services of Santiago de Cuba Province,,Cano-Ortiz S.D.; Lombardía-Legra L.; Deler-OFarril F.J.; Veranes-Bicet L.,2023,13,Conference paper,10.1007/978-3-031-17091-1_61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141667766&doi=10.1007%2f978-3-031-17091-1_61&partnerID=40&md5=80555b75aab9e5095dddf3d65c8f5021,Digital clinical history; e-Health applications; Neuro-development,"Childhood Neurodevelopmental disorders (NDD) collectively represent a great challenge for health systems internationally, with a significant economic and social impact. Despite the existence of digital devices in Cuban hospitals, the clinical records of patients are still written in hard format and stored in unfavourable conditions. Moreover the international market for Electronic Hospital Records systems (EHR’s) presents a wide variety of products but in addition to being expensive, they only prioritize clinical service. The main objective of this paper is to develop a low cost Web-based system oriented for research that automates the information management of the Services for Infant Neurodevelopment & Disability (SPNID) in Santiago de Cuba. The system was developed using open source tools and technologies, and the Extreme Programming as software development methodology. The ECR that responds to the services provided in the SPNID was developed in Visual Studio Code v1.39.2. The software has been implemented in the JavaScript programming language, using open source frameworks. Moreover a dedicated wireless network was designed for remote access of SPNID staff using mobile devices. The system was successfully evaluated in real conditions on the Intranet of the Southern Infant Hospital (HIS) by the SPNID specialists. Moreover a way of how to make the biomedical research about NDD closer to hospital was tackled by authors. The use of open source and the efficient use of low-cost solutions in the implemented system have proven to be viable alternatives for the improvement of health system in low-income countries like Cuba. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Lecture Notes in Networks and Systems,"19th International Conference on Remote Engineering and Virtual Instrumentation, REV 2022",28 February 2022 through 2 March 2022,Cairo,285299,,0,Final,
Framework and tooling proposals for Agile certification of safety-critical embedded software in avionic systems,,Baron C.; Louis V.,2023,,Article,10.1016/j.compind.2023.103887,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150266211&doi=10.1016%2fj.compind.2023.103887&partnerID=40&md5=05e21ac80be2c1b4d10edda2b055e718,Agile software development; Agility; Avionics; Certification; Certification standards; Computer-aided software engineering; Continuous certification; Continuous integration; Continuous production; Development process; DevOps; Embedded software; Methods and tools; Processes; Safety-critical software engineering; Software engineering; Software safety; Test automation; Test-driven development,"This article focuses on quality improvement in the development of DO-178C/ED-12C safety-critical software, optimizing development costs through the implementation of a “continuous certification” integral process. We discuss the major problems associated with traditional, V-cycle software development practices, and highlight the many advantages of adopting a “continuous certification” process based on a more Agile approach. The article proposes a framework for deploying this process, explaining the development of the framework and demonstrating its compliance with the requirements of certification standards. We also propose a tooling based on open-source, off-the-shelf solutions to implement the framework and illustrate its efficiency and effectiveness on an industrial case study. © 2023 Elsevier B.V.",Computers in Industry,,,,,,0,Final,
Numerical study of MILD Combustion of Ammonia/hydrogen Mixtures,,Cardona L.F.; Alvarado P.N.,2023,5,Article,10.3303/CET2398004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159621602&doi=10.3303%2fCET2398004&partnerID=40&md5=ddf6e4667a695186708b6a125b72c2cc,,"The combustion of ammonia (NH3) has sparked a renewed interest in the scientific community because it is a carbon-free fuel that does not contribute to global warming. Nevertheless, some of its disadvantages include the fact that (i) it has lower laminar flame speeds when compared to hydrocarbons, and (ii) that it is prone to the formation of nitride oxides (NOx) through the fuel route. As an alternative to address the first issue, it has been proposed to mix ammonia with hydrogen, but at the expense of even higher NOx emissions. Such emissions, however, can be reduced by operating at restrictive equivalence ratios near stoichiometry, which reduces oxygen availability in the reactions for NOx formation. This is a drawback because lean combustion, a technique that has been proven to reduce emissions for most fuels, is usually avoided in NH3 combustion. Therefore, with the goal of reducing NOx, this paper presents a numerical study using perfectly stirred reactors to investigate the potential use of both lean equivalence ratios and hydrogen enrichment in the MILD combustion of NH3. Some features of the MILD regime, such as low temperature increases due to reaction and the possibility of sustaining reactions under low oxygen concentrations, could be beneficial to ammonia combustion. Simulations were carried out in open-source software Cantera. According to the results, reaction can be sustained at lean equivalence ratios like 0.6 with a 50% hydrogen enrichment, and emissions of less than 100 ppm NO at 15% O2 on a dry basis can be obtained. In conclusion, MILD is a promising strategy for the clean burning of ammonia. Copyright © 2023, AIDIC Servizi S.r.l.",Chemical Engineering Transactions,,,,,,0,Final,
A Systematic Review of the Tools and Techniques in Distributed Agile Software Development,,Jadhav D.; Kundale J.; Bhagwat S.; Joshi J.,2023,25,Book chapter,10.1002/9781119896838.ch8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152336972&doi=10.1002%2f9781119896838.ch8&partnerID=40&md5=02084b9640fa727d0e9b4d1eb9c882a0,Distributed Agile Software Development; distributed programming; distributed project management; jira; nTask; pair programming; techniques; tools,"A software project is the entire methodology of development, from gathering requirements to testing and support, concluded by execution procedures, in a specific time frame to produce the desired software product. Agile is an iterative project management and software development methodology that enables teams to deliver value to customers efficiently with minimal setbacks. In agile software development, project planning is very vital. The lack of in person communication and the incapability to share paper index cards among all meeting participants have a significant impact on project planning in distributed environments. This chapter discusses the benefits of Distributed Agile Software Development and the various distributed agile planning tools that are available to resolve these concerns. These tools differ in terms of features, operations, usage and pricing. This chapter aims at providing deeper insights into the most contemporary agile planning tools used by distributed agile professionals. The agile tools studied and compared are both open source as well as proprietary tools. We also provide a brief description of 17 distributed agile tools such as Jira, nTask, ActiveCollab, Monday.com, ProofHub, GitLab etc. This chapter also provides a complete study of these tools in terms of features and pricing. © 2023 Scrivener Publishing LLC.","Agile Software Development: Trends, Challenges and Applications",,,,,,0,Final,
