Title,Authors,Year,Document Type,DOI,Link,Publication Title
Introducing Agile Product Owners in a FLOSS Project,Matthias MüllerChristian SchindlerWolfgang Slany,2019,Chapter,10.1007/978-3-030-20883-7_4,http://link.springer.com/chapter/10.1007/978-3-030-20883-7_4,Open Source Systems
Comparing Scaling Agile Frameworks Based on Underlying Practices,Sven TheobaldAnna SchmittPhilipp Diebold,2019,Chapter,10.1007/978-3-030-30126-2_11,http://link.springer.com/chapter/10.1007/978-3-030-30126-2_11,Agile Processes in Software Engineering and Extreme Programming – Workshops
The Changing Role of the Software Engineer,Edward MeadeEmma O’KeeffeNiall LyonsDean LynchMurat YilmazUlas GulecRory V. O’ConnorPaul M. Clarke,2019,Chapter,10.1007/978-3-030-28005-5_53,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_53,"Systems, Software and Services Process Improvement"
Application of Computational Linguistics Techniques for Improving Software Quality,Amin BoudeffaAntonin AbherveAlessandra BagnatoCedric ThomasMartin HamantAssad Montasser,2019,Chapter,10.1007/978-3-030-35333-9_41,http://link.springer.com/chapter/10.1007/978-3-030-35333-9_41,Product-Focused Software Process Improvement
Agile Development of Cross-University Digital Education Ecosystems,Carsten WolffChristian ReimannOlha MikhieievaEkaterina Mikhaylova,2021,Chapter,10.1007/978-3-030-85521-5_51,http://link.springer.com/chapter/10.1007/978-3-030-85521-5_51,"Systems, Software and Services Process Improvement"
Empowering Instead of Hindering – Challenges in Participatory Development of Cognitively Accessible Software,Susanne Dirks,2019,Chapter,10.1007/978-3-030-23560-4_3,http://link.springer.com/chapter/10.1007/978-3-030-23560-4_3,"Universal Access in Human-Computer Interaction. Theory, Methods and Tools"
MELODIC: Selection and Integration of Open Source to Build an Autonomic Cross-Cloud Deployment Platform,Geir HornPaweł SkrzypekMarcin PrusińskiKatarzyna MaterkaVassilis StefanidisYiannis Verginadis,2019,Chapter,10.1007/978-3-030-29852-4_31,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_31,Software Technology: Methods and Tools
Quality Assurance and Traceability in Containerized Continuous Delivery Process,Oyewale Adedayo OyelamiAlexander PothJohannes HintschAndreas Riel,2019,Chapter,10.1007/978-3-030-28005-5_28,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_28,"Systems, Software and Services Process Improvement"
Preferred Tools for Agile Development: A Sociocultural Perspective,Paolo CiancariniMarcello MissiroliAlberto Sillitti,2019,Chapter,10.1007/978-3-030-29852-4_3,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_3,Software Technology: Methods and Tools
DevOps is Simply Interaction Between Development and Operations,Floris Erich,2019,Chapter,10.1007/978-3-030-06019-0_7,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_7,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
A Multidimensional Review and Extension of the SPI Manifesto Using STEEPLED Analysis,Elli GeorgiadouKerstin SiakasEleni BerkiJohn EstdaleHarjinder RahanuMargaret RossRichard Messnarz,2021,Chapter,10.1007/978-3-030-85521-5_13,http://link.springer.com/chapter/10.1007/978-3-030-85521-5_13,"Systems, Software and Services Process Improvement"
Artificial Intelligence Helps Making Quality Assurance Processes Leaner,Alexander PothQuirin BeckAndreas Riel,2019,Chapter,10.1007/978-3-030-28005-5_56,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_56,"Systems, Software and Services Process Improvement"
Quality Evaluation with the Open-Source Quality-Radar for a Sustainable Selection and Use of FOSS Components,Alexander PothDan-Alexander LevienOlsi RrjolliMatthias Wanjetscheck,2022,Chapter,10.1007/978-3-031-15559-8_36,http://link.springer.com/chapter/10.1007/978-3-031-15559-8_36,"Systems, Software and Services Process Improvement"
DevOps Meets Dynamic Orchestration,Kiyana BahadoriTullio Vardanega,2019,Chapter,10.1007/978-3-030-06019-0_11,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_11,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Empowering Software Engineering with Artificial Intelligence,Hoa Khanh Dam,2019,Chapter,10.1007/978-3-030-32242-7_3,http://link.springer.com/chapter/10.1007/978-3-030-32242-7_3,Service Research and Innovation
Practical Implementation of Industry 4.0 Based on Open Access Tools and Technologies,Ahmed AwoudaKhurshid AlievPaolo ChiabertDario Antonelli,2019,Chapter,10.1007/978-3-030-42250-9_9,http://link.springer.com/chapter/10.1007/978-3-030-42250-9_9,Product Lifecycle Management in the Digital Twin Era
Examining Unequal Gender Distribution in Software Engineering,Alex MurphyBen KellyKai BergmannKyrylo KhaletskyyRory V. O’ConnorPaul M. Clarke,2019,Chapter,10.1007/978-3-030-28005-5_51,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_51,"Systems, Software and Services Process Improvement"
The Impact of Dance Sport on Software Development,Irina Erofeeva,2019,Chapter,10.1007/978-3-030-29852-4_8,http://link.springer.com/chapter/10.1007/978-3-030-29852-4_8,Software Technology: Methods and Tools
To Work from Home (WFH) or Not to Work from Home? Lessons Learned by Software Engineers During the COVID-19 Pandemic,Aifric NolanRachel WhiteMahjabeen SoomroBoluwatife Comfort DopamuMurat YilmazDavid SolanPaul Clarke,2021,Chapter,10.1007/978-3-030-85521-5_2,http://link.springer.com/chapter/10.1007/978-3-030-85521-5_2,"Systems, Software and Services Process Improvement"
Designing a Maturity Model for a Distributed Software Organization. An Experience Report,Bartosz WalterMarcin WolskiŽarko StanisavljevićAndrijana Todosijević,2019,Chapter,10.1007/978-3-030-28005-5_10,http://link.springer.com/chapter/10.1007/978-3-030-28005-5_10,"Systems, Software and Services Process Improvement"
A Preliminary Method to Support the Semantic Interoperability in Models of Manufacturing (MfM) Based on an Ontological Approach,Anderson Luis SzejkaOsiris Canciglieri Jr.Fernando Mas,2019,Chapter,10.1007/978-3-030-42250-9_11,http://link.springer.com/chapter/10.1007/978-3-030-42250-9_11,Product Lifecycle Management in the Digital Twin Era
There’s No Business Like Software Business: Trends in Software Intensive Business Research,Slinger Jansen,2019,Chapter,10.1007/978-3-030-33742-1_3,http://link.springer.com/chapter/10.1007/978-3-030-33742-1_3,Software Business
Modular Programming and Reasoning for Living with Uncertainty,Naoyasu UbayashiYasutaka KameiRyosuke Sato,2019,Chapter,10.1007/978-3-030-29157-0_10,http://link.springer.com/chapter/10.1007/978-3-030-29157-0_10,Software Technologies
Building Effective Software Development Teams Based on the Personality of Its Members,Luz Marcela Restrepo-TamayoGloria Piedad Gasca-HurtadoMirna Muñoz,2022,Chapter,10.1007/978-3-031-15559-8_48,http://link.springer.com/chapter/10.1007/978-3-031-15559-8_48,"Systems, Software and Services Process Improvement"
From Monolith to Microservices: A Classification of Refactoring Approaches,Jonas FritzschJustus BognerAlfred ZimmermannStefan Wagner,2019,Chapter,10.1007/978-3-030-06019-0_10,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_10,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
A Taxonomy of Software Engineering Challenges for Machine Learning Systems: An Empirical Investigation,Lucy Ellen LwakatareAiswarya RajJan BoschHelena Holmström OlssonIvica Crnkovic,2019,Chapter,10.1007/978-3-030-19034-7_14,http://link.springer.com/chapter/10.1007/978-3-030-19034-7_14,Agile Processes in Software Engineering and Extreme Programming
An Empirical Assessment on Affective Reactions of Novice Developers When Applying Test-Driven Development,Simone RomanoDavide FucciMaria Teresa BaldassarreDanilo CaivanoGiuseppe Scanniello,2019,Chapter,10.1007/978-3-030-35333-9_1,http://link.springer.com/chapter/10.1007/978-3-030-35333-9_1,Product-Focused Software Process Improvement
Comparison Framework for Team-Based Communication Channels,Camila Costa SilvaFabian GilsonMatthias Galster,2019,Chapter,10.1007/978-3-030-35333-9_22,http://link.springer.com/chapter/10.1007/978-3-030-35333-9_22,Product-Focused Software Process Improvement
Increasing Precision of Automatically Generated Trace Links,Paul HübnerBarbara Paech,2019,Chapter,10.1007/978-3-030-15538-4_5,http://link.springer.com/chapter/10.1007/978-3-030-15538-4_5,Requirements Engineering: Foundation for Software Quality
A Proposal for Integrating DevOps into Software Engineering Curricula,Christopher Jones,2019,Chapter,10.1007/978-3-030-06019-0_3,http://link.springer.com/chapter/10.1007/978-3-030-06019-0_3,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Teaching Formal Methods: Lessons Learnt from Using Event-B,Néstor Cataño,2019,Chapter,10.1007/978-3-030-32441-4_14,http://link.springer.com/chapter/10.1007/978-3-030-32441-4_14,Formal Methods Teaching
Crowdsourced Reverse Engineering: Experiences in Applying Crowdsourcing to Concept Assignment,Sebastian HeilValentin SiegertMartin Gaedke,2019,Chapter,10.1007/978-3-030-22559-9_10,http://link.springer.com/chapter/10.1007/978-3-030-22559-9_10,Evaluation of Novel Approaches to Software Engineering
"A Learning Management System Accessible for Visual, Hearing and Physical Impairments",Marcos NascimentoThiago OliveiraNelson LimaRenato RamosLidiane SilvaFrancisco OliveiraAnarosa Brandão,2019,Chapter,10.1007/978-3-030-23560-4_35,http://link.springer.com/chapter/10.1007/978-3-030-23560-4_35,"Universal Access in Human-Computer Interaction. Theory, Methods and Tools"
The Digital Thread in Industry 4.0,Tiziana MargariaAlexander Schieweck,2019,Chapter,10.1007/978-3-030-34968-4_1,http://link.springer.com/chapter/10.1007/978-3-030-34968-4_1,Integrated Formal Methods
Leveraging Cyber-Physical System Honeypots to Enhance Threat Intelligence,Michael Haney,2019,Chapter,10.1007/978-3-030-34647-8_11,http://link.springer.com/chapter/10.1007/978-3-030-34647-8_11,Critical Infrastructure Protection XIII
Smart Contracts for Container Based Video Conferencing Services: Architecture and Implementation,Sandi GecDejan LavbičMarko BajecVlado Stankovski,2019,Chapter,10.1007/978-3-030-13342-9_19,http://link.springer.com/chapter/10.1007/978-3-030-13342-9_19,"Economics of Grids, Clouds, Systems, and Services"
A New Compact Optical System Proposal and Image Quality Comparison Against Other Affordable Non-mydriatic Fundus Cameras,David MeloFilipe SoaresSimão FelgueirasJoão GonçalvesPedro Vieira,2019,Chapter,10.1007/978-3-030-29196-9_2,http://link.springer.com/chapter/10.1007/978-3-030-29196-9_2,Biomedical Engineering Systems and Technologies
