Title,S1,S2,Authors,Year,Pages,Document Type,DOI,Link,Journal,Keywords,Publisher,Conference,Conference location,Date published
CIDFuzz: Fuzz testing for continuous integration,,,"Zhang J,Cui Z,Chen X,Yang H,Zheng L,Liu J",2023,301–315,Journal Article,10.1049/sfw2.12125,https://doi.org/10.1049/sfw2.12125;http://dx.doi.org/10.1049/sfw2.12125,IET Software,"quality assurance, program testing, software quality","John Wiley & Sons, Inc.",,,2023
A versatile dataset of agile open source software projects,,,"Tawosi V,Al-Subaihin A,Moussa R,Sarro F",2022,707–711,Conference Paper,10.1145/3524842.3528029,https://doi.org/10.1145/3524842.3528029;http://dx.doi.org/10.1145/3524842.3528029,,"open-source software, agile development, data mining",Association for Computing Machinery,Proceedings of the 19th International Conference on Mining Software Repositories,"Pittsburgh, Pennsylvania",2022
On the Relationship Between Story Points and Development Effort in Agile Open-Source Software,,,"Tawosi V,Moussa R,Sarro F",2022,183–194,Conference Paper,10.1145/3544902.3546238,https://doi.org/10.1145/3544902.3546238;http://dx.doi.org/10.1145/3544902.3546238,,"Agile software., Software effort estimation, Story Point",Association for Computing Machinery,Proceedings of the 16th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement,"Helsinki, Finland",2022
Functional Size Measurement in Agile Development: Velocity in Agile Sprints,,,"Fehlmann T,Gelli A",2023,324–325,Conference Paper,10.1145/3593434.3593479,https://doi.org/10.1145/3593434.3593479;http://dx.doi.org/10.1145/3593434.3593479,,"Functional Size, Technical Debt, Continuous Delivery, Agile Development, Product Backlog",Association for Computing Machinery,Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,"Oulu, Finland",2023
Teaching an Undergraduate Software Engineering Course using Active Learning and Open Source Projects,,,"Dorodchi M,Al-Hossami E,Nagahisarchoghaei M,Diwadkar RS,Benedict A",2019,1–5,Conference Paper,10.1109/FIE43999.2019.9028517,https://doi.org/10.1109/FIE43999.2019.9028517;http://dx.doi.org/10.1109/FIE43999.2019.9028517,,,IEEE Press,2019 IEEE Frontiers in Education Conference (FIE),"Covington, KY, USA",2019
Iter8: Online Experimentation in the Cloud,,,"Toslali M,Parthasarathy S,Oliveira F,Huang H,Coskun AK",2021,289–304,Conference Paper,10.1145/3472883.3486984,https://doi.org/10.1145/3472883.3486984;http://dx.doi.org/10.1145/3472883.3486984,,"online experimentation, distributed systems, performance, multi-armed bandit",Association for Computing Machinery,Proceedings of the ACM Symposium on Cloud Computing,"Seattle, WA, USA",2021
An impact-driven approach to predict user stories instability,,,"Levy Y,Stern R,Sturm A,Mordoch A,Bitan Y",2022,231–248,Journal Article,10.1007/s00766-022-00372-w,https://doi.org/10.1007/s00766-022-00372-w;http://dx.doi.org/10.1007/s00766-022-00372-w,Requir. Eng.,"User story, Agile software development, Requirements, Machine learning",Springer-Verlag,,,2022
Enhancing Hybrid OSS Development Through Agile Methods and High Media Synchronicity,,,"Chengalur-Smith I,Nevo S,Fitzgerald B",2022,92–118,Journal Article,10.1145/3508484.3508490,https://doi.org/10.1145/3508484.3508490;http://dx.doi.org/10.1145/3508484.3508490,SIGMIS Database,"affective convergence, agile practices, cognitive convergence, hybrid oss teams, media synchronicity theory",Association for Computing Machinery,,,2022
DeltaFuzz: Historical Version Information Guided Fuzz Testing,,,"Zhang JM,Cui ZQ,Chen X,Wu HH,Zheng LW,Liu JB",2022,29–49,Journal Article,10.1007/s11390-021-1663-7,https://doi.org/10.1007/s11390-021-1663-7;http://dx.doi.org/10.1007/s11390-021-1663-7,J. Comput. Sci. Technol.,"change impact analysis, fitness function, fuzz testing, regression testing",Springer-Verlag,,,2022
Porting and FPGA Implementation of LXDE Desktop Environment Based on RISC-V,,,"Zou X,Li T,Li R,Yang L,Wang X,Wang C",2021,Article 76,Conference Paper,10.1145/3487075.3487151,https://doi.org/10.1145/3487075.3487151;http://dx.doi.org/10.1145/3487075.3487151,,"SoC, BOOM, Desktop environment, RISC-V",Association for Computing Machinery,Proceedings of the 5th International Conference on Computer Science and Application Engineering,"Sanya, China",2021
